carrier_name,vehicle_segment,g/tm CO2,ef_kg_co2e_per_tkm
Ashley Pacific Northwest: APNW,For-Hire,78.929,0.054061944976000004
Aspirations Inc.,Private,116.71600000000001,0.07994392390400001
Aspire Xpedited LLC,For-hire,93.45,0.06400801680000001
"Associated Couriers, LLC",For-hire,102.4,0.07013826560000001
Associated Logistics Group: Associated Logistics Group,Private,140.57,0.09628257808
"Associated Trucking, Inc.",For-Hire,90.9,0.06226140960000001
Associates Logistics INC: Associates Logistics INC,For-Hire,116.71600000000001,0.07994392390400001
Asstra Trans Inc,For-Hire,110.12049999999999,0.075426375752
Atech Logistics Trucking,For-Hire,102.4,0.07013826560000001
Atlantic Bulk Carrier Corporation,For-Hire,64.15,0.04393915760000001
